2015 NGS-A Gene and Chromosomal Position List				Date into Voyager?	Chromosomal Location			Concatenate Result	Text Result	Date into Voyager?																																																																																																																																																																																																																																																			
SDHAF1	HGNC:33867	chr19 36486445	NM_001042631.2	4/21/15	chr19	36486444	36486445	chr19:36486444-36486445	chr19:36486444-36486445	4/21/15																																																																																																																																																																																																																																																			
SDHB	HGNC:10681	chr1 17380497	NM_003000.2	4/21/15	chr1	17380496	17380497	chr1:17380496-17380497	chr1:17380496-17380497	4/21/15																																																																																																																																																																																																																																																			
SEPN1	HGNC:15999	chr1 26131654	NM_020451.2	4/21/15	chr1	26131653	26131654	chr1:26131653-26131654	chr1:26131653-26131654	4/21/15																																																																																																																																																																																																																																																			
SERPINA1	HGNC:8941	chr14 94847415	NM_000295.4	4/21/15	chr14	94847414	94847415	chr14:94847414-94847415	chr14:94847414-94847415	4/21/15																																																																																																																																																																																																																																																			
SFTPA2	HGNC:10799	chr10 81318663	NM_001098668.2	4/21/15	chr10	81318662	81318663	chr10:81318662-81318663	chr10:81318662-81318663	4/21/15																																																																																																																																																																																																																																																			
SFTPB	HGNC:10801	chr2 85895338	NM_198843.2	4/21/15	chr2	85895337	85895338	chr2:85895337-85895338	chr2:85895337-85895338	4/21/15																																																																																																																																																																																																																																																			
SFTPC	HGNC:10802	chr8 22021517	NM_003018.3	4/21/15	chr8	22021516	22021517	chr8:22021516-22021517	chr8:22021516-22021517	4/21/15																																																																																																																																																																																																																																																			
SHANK3	HGNC:14294	chr22 51117580	NM_001080420.1	4/21/15	chr22	51117579	51117580	chr22:51117579-51117580	chr22:51117579-51117580	4/21/15																																																																																																																																																																																																																																																			
SLC2A11	HGNC:14239	chr22 24199704	NM_030807.3	4/21/15	chr22	24199703	24199704	chr22:24199703-24199704	chr22:24199703-24199704	4/21/15																																																																																																																																																																																																																																																			
SPATA7	HGNC:20423	chr14 88852166	NM_018418.4	4/21/15	chr14	88852165	88852166	chr14:88852165-88852166	chr14:88852165-88852166	4/21/15																																																																																																																																																																																																																																																			
STIL	HGNC:10879	chr1 47767914	NM_003035.2	4/21/15	chr1	47767913	47767914	chr1:47767913-47767914	chr1:47767913-47767914	4/21/15																																																																																																																																																																																																																																																			
SUCLA2	HGNC:11448	chr13 48547467	NM_003850.2	4/21/15	chr13	48547466	48547467	chr13:48547466-48547467	chr13:48547466-48547467	4/21/15																																																																																																																																																																																																																																																			
TCF4	HGNC:11634	chr18 53303101	NM_001083962.1	4/21/15	chr18	53303100	53303101	chr18:53303100-53303101	chr18:53303100-53303101	4/21/15																																																																																																																																																																																																																																																			
TECTA	HGNC:11720	chr11 121032978	NM_005422.2	4/21/15	chr11	121032977	121032978	chr11:121032977-121032978	chr11:121032977-121032978	4/21/15																																																																																																																																																																																																																																																			
TGIF1	HGNC:11776	chr18 3452222	NM_173208.1	4/21/15	chr18	3452221	3452222	chr18:3452221-3452222	chr18:3452221-3452222	4/21/15																																																																																																																																																																																																																																																			
TJP2	HGNC:11828	chr9 71851877	NM_004817.3	4/21/15	chr9	71851876	71851877	chr9:71851876-71851877	chr9:71851876-71851877	4/21/15																																																																																																																																																																																																																																																			
TMEM216	HGNC:25018	chr11 61165741	NM_001173990.2	4/21/15	chr11	61165740	61165741	chr11:61165740-61165741	chr11:61165740-61165741	4/21/15																																																																																																																																																																																																																																																			
TMEM67	HGNC:28396	chr8 94808165	NM_153704.5	4/21/15	chr8	94808164	94808165	chr8:94808164-94808165	chr8:94808164-94808165	4/21/15																																																																																																																																																																																																																																																			
TMIE	HGNC:30800	chr3 46751074	NM_147196.2	4/21/15	chr3	46751073	46751074	chr3:46751073-46751074	chr3:46751073-46751074	4/21/15																																																																																																																																																																																																																																																			
TP53	HGNC:11998	chr17 7579472	NM_000546.4	4/21/15	chr17	7579471	7579472	chr17:7579471-7579472	chr17:7579471-7579472	4/21/15																																																																																																																																																																																																																																																			
TPM2	HGNC:12011	chr9 35683240	NM_003289.3	4/21/15	chr9	35683239	35683240	chr9:35683239-35683240	chr9:35683239-35683240	4/21/15																																																																																																																																																																																																																																																			
TRIOBP	HGNC:17009	chr22 38130472	NM_138632.2	4/21/15	chr22	38130471	38130472	chr22:38130471-38130472	chr22:38130471-38130472	4/21/15																																																																																																																																																																																																																																																			
TRPM1	HGNC:7146	chr15 31362352	NM_002420.4	4/21/15	chr15	31362351	31362352	chr15:31362351-31362352	chr15:31362351-31362352	4/21/15																																																																																																																																																																																																																																																			
TSC2	HGNC:12363	chr16 2125834	NM_000548.3	4/21/15	chr16	2125833	2125834	chr16:2125833-2125834	chr16:2125833-2125834	4/21/15																																																																																																																																																																																																																																																			
TTC21B	HGNC:25660	chr2 166788336	NM_024753.3	4/21/15	chr2	166788335	166788336	chr2:166788335-166788336	chr2:166788335-166788336	4/21/15																																																																																																																																																																																																																																																			
TTN	HGNC:12403	chr2 179644035	NM_133378.4	4/21/15	chr2	179644034	179644035	chr2:179644034-179644035	chr2:179644034-179644035	4/21/15																																																																																																																																																																																																																																																			
TTR	HGNC:12405	chr18 29172865	NM_000371.3	4/21/15	chr18	29172864	29172865	chr18:29172864-29172865	chr18:29172864-29172865	4/21/15																																																																																																																																																																																																																																																			
TULP1	HGNC:12423	chr6 35477032	NM_003322.3	4/21/15	chr6	35477031	35477032	chr6:35477031-35477032	chr6:35477031-35477032	4/21/15																																																																																																																																																																																																																																																			
VCAN	HGNC:2464	chr5 82816190	NM_004385.4	4/21/15	chr5	82816189	82816190	chr5:82816189-82816190	chr5:82816189-82816190	4/21/15																																																																																																																																																																																																																																																			
VPS13B	HGNC:2183	chr8 100844615	NM_017890.3	4/21/15	chr8	100844614	100844615	chr8:100844614-100844615	chr8:100844614-100844615	4/21/15																																																																																																																																																																																																																																																			
WDR35	HGNC:29250	chr2 20189015	NM_001006657 .1	4/21/15	chr2	20189014	20189015	chr2:20189014-20189015	chr2:20189014-20189015	4/21/15																																																																																																																																																																																																																																																			
WFS1	HGNC:12762	chr4 6302519	NM_006005.3	4/21/15	chr4	6302518	6302519	chr4:6302518-6302519	chr4:6302518-6302519	4/21/15																																																																																																																																																																																																																																																			
XRCC2	HGNC:12829	chr7 152346007	NM_005431.1	4/21/15	chr7	152346006	152346007	chr7:152346006-152346007	chr7:152346006-152346007	4/21/15																																																																																																																																																																																																																																																			
ZNF804A	HGNC:21711	chr2 185802212	NM_194250.1	4/21/15	chr2	185802211	185802212	chr2:185802211-185802212	chr2:185802211-185802212	4/21/15																																																																																																																																																																																																																																																			
ZNF804A	HGNC:21711	chr2 185803444	NM_194250.1	N/A	chr2	185803443	185803444	chr2:185803443-185803444	chr2:185803443-185803444	4/21/15																																																																																																																																																																																																																																																			
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
																																																																																																																																																																																																																																																													
